Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Sidcul NH 73, Haridwar",Antriksh NRI City,"This society is located at very prime location, society is surrounded by 100 ft road, infront of this society pentagon mall, 4 star hotels are there,all the conveyance facility are there for easy to reach, metro hospital is 2 km away from this society.",915 sqft,Super Built-up Area,₹38 Lac,"₹4,153 /sqft",2
3 BHK,"Sidcul NH 73, Haridwar",Antriksh NRI City,"This society is located at very prime location, society is surrounded by 100 ft road, infront of this society pentagon mall, 4 star hotels are there,all the conveyance facility are there for easy to reach, metro hospital is 2 km away from this society.","1,315 sqft",Super Built-up Area,₹48 Lac,"₹3,650 /sqft",2
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"Nice and clean society with all amenities. 250 happy families are living. Full security, 2 parks, temple and near to pentagon mall. Also near to shivalik nagar. Metro hospital and maximum government offices are with in 3 km. Newly building",810 sqft,Super Built-up Area,₹25 Lac,"₹3,333 /sqft",2
2 BHK,"Sidcul NH 73, Haridwar",Deep Ganga Apartment,"A 2 bedroom resale flat, located in sidcul nh 73, haridwar, is available. It is a ready to move in semi-Furnished flat located in deep ganga apartment. Situated in a prominent locality, it is a 5-10 year old, which is in its prime condition. The flat is on the 2nd floor of the building. Aesthetically designed, this property has 2 bathroom(s). The property also has 2balcony(s). The flat has a go...","1,140 sqft",Super Built-up Area,₹35 Lac,"₹2,456 /sqft",2
2 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,Beautiful 2bhk apartment is available for sale in one of the best society of haridwar uttarakhand. Flat is fully furnished with all furnitures and electronic equipments.,880 sqft,Super Built-up Area,₹35 Lac,"₹3,977 /sqft",2
3 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,Flats for sale in one of the best society of haridwar uttarakhand with cover car parking club membership and power backup.,"1,645 sqft",Super Built-up Area,₹72 Lac,"₹4,376 /sqft",3
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,136.32 gaj plot available hrda and rera approved,"1,224 sqft",Plot Area,₹45 Lac,"₹3,676 /sqft",0
1 BHK,"Har Ki Pauri, Haridwar",RG AMRIT,"1 bhk premium flats ready to move in shanti kunj haridwar. 582 sqft area where we constructed 1 bedroom, 2 bathrooms, and 1 living room 1 balcony. Flooring is made with vitrified tiles and anti-Skid tiles in the bathroom. You can see the park view from the balcony of the apartment. Special care has been taken to ensure premium construction quality by using ash bricks, upvc doors, best quality p...",582 sqft,Carpet Area,₹26 Lac,"₹5,326 /sqft",2
2 BHK,"Har Ki Pauri, Haridwar",RG AMRIT,"2 bhk un-Furnished, har ke pouri shanti kung gate number 4 near jain mander highway touch","1,064 sqft",Carpet Area,₹37 Lac,"₹3,289 /sqft",2
1 BHK,"Har Ki Pauri, Haridwar",RG AMRIT,"562 sqft 1bhk flat 2 toilet un furnished open parking in city haridwar near har ke pauri Excellent option for investment living rental, construction on in full swing , vastu designs, , suits your taste and budget, excellent natural light and air ventilation, prime and easy location Features General Power back-Up Lifts Security Security guards Electronic security Lot Private terrace Balcony Priv...",562 sqft,Carpet Area,₹25 Lac,"₹4,092 /sqft",2
5 BHK,"Rawali Mahdood, Haridwar",Khasra No. 466,"All that piece and parcel of property house admeasuring east 35 feet, west 35 feet, north 20 feet, south 20 feet,total area 700 sq. Ft. I.E 65.05 sq. Mt., having 4 rooms, 2 latrine bathroom,stairs at the ground floor and 5 rooms, 2 latrine bathroom at first floor,having total covered area 1400 sq. Ft., bearing its khasra no. 466,situated at village, rawali mahdood, pargana jwalapur tehsil & dis...",700 sqft,Plot Area,₹20 Lac,"₹2,857 /sqft",2
4 BHK,"Subhash Nagar, Haridwar","Subhash Nagar, Haridwar",Spacious house and well maintained,"3,360 sqft",Plot Area,₹1.5 Cr,"₹4,464 /sqft",2
6 BHK,"Near Bhagat Singh Chowk, Haridwar",shivlok,"Near bhagat singh chowk is one of haridwar's most sought after destination for residential houses and this 6 bhk house in near bhagat singh chowk is your opportunity to be a part of this community. The floor plan additionally contains 6 bedrooms, 4 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 1291 sq.Ft. Your vehicle(s) can be easily parke...","1,291 sqft",Plot Area,₹1.5 Cr,"₹11,617 /sqft",4
Plot/Land,"Roshanabad, Haridwar",Navodaya Nagar,Plot for sale in navodaya nagar roshanabad is available in haridwar. This locality resonates with your modern lifestyle. It spans over spectacular 2623 sq.Ft. Super built up area. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The property is owned under freehold contract. The plo...,"2,623 sqft",Plot Area,₹39.35 Lac,"₹1,500 /sqft",0
Plot/Land,"Sidcul , Haridwar",navodaya nagar,"Planning to build residence in haridwar? This plot in sidcul is the best deal for you. This 2257 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. Construction on this property can be easily done upto 3 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. Currently th...","2,257 sqft",Plot Area,₹33.85 Lac,"₹1,500 /sqft",0
6 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Check out this 6 bhk house for sale in sidcul, a popular residential locality that contains many of the in-Demand properties in haridwar. The floor plan additionally contains 6 bedrooms, 4 bathrooms and more than 3 balconies. All in all, the independent house is spread over a super built up area of 2600 sq.Ft. Your vehicle(s) can be easily parked as this house comes with 2 covered and 2 open pa...","2,600 sqft",Plot Area,₹90 Lac,"₹3,461 /sqft",4
Plot/Land,"Kankhal, Haridwar",Raja Garden,Kankhal is an ideal location for buying residential plots in haridwar. This plot in kankhal is a great buy for you. The plot is around super built up area of 700 sq.Ft. In size. Up to 3 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price ...,700 sqft,Plot Area,₹10.5 Lac,"₹1,500 /sqft",0
5 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Wishing to settle down in an individual house with your family? This well-Built and spacious 5 bhk house for sale in roshanabad, haridwar seems to be an ideal choice for a peaceful abode for a family. Another plus point for the house is that it is situated near close to hospital and close to school. Containing 5 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a supe...",704 sqft,Plot Area,₹26 Lac,"₹3,693 /sqft",3
3 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in roshanabad, haridwar and make it your new address. Owing to its key locations, several landmarks like close to hospital, close to market and close to school are easily accessible. The house has over super built up area of 600 sq.Ft. And comes with 3 bedrooms, 1 bathroom and 1 balcony. The owner of ...",600 sqft,Plot Area,₹16 Lac,"₹2,666 /sqft",1
Plot/Land,"Sidcul , Haridwar",Navodaya Nagar,"Spacious, ready to build plot in sidcul , haridwar. This 2623 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The owner of the property has freehold entitlement over the land. The asking price is ...","2,623 sqft",Plot Area,₹35.41 Lac,"₹1,350 /sqft",0
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar","Roshanabad is an ideal location for buying residential plots in haridwar. This plot in roshanabad is a great buy for you. The plot is around super built up area of 1769 sq.Ft. In size. Ownership of this property provides you entitlement to construct upto 3 floors. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. The owner of the pro...","1,769 sqft",Plot Area,₹24.77 Lac,"₹1,400 /sqft",0
18 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Wishing to settle down in an individual house with your family? This well-Built and spacious 18 bhk house for sale in navodaya nagar roshanabad, haridwar seems to be an ideal choice for a peaceful abode for a family. This house occupies a super built up area of 2000 sq.Ft. And contains 18 bedrooms, 10 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 2 ope...","2,000 sqft",Plot Area,₹75 Lac,"₹3,750 /sqft",10
4 BHK,"Roshanabad, Haridwar",Haridwar Greens,"Planning to buy an individual house in haridwar. Then you should definitely check out this 4 bhk house for sale in roshanabad, a well-Planned and well-Connected locality in haridwar. Containing 4 bedrooms, 4 bathrooms and 2 balconies, this independent house is spread over a super built up area of 612 sq.Ft. There are 2 open parking available with this house. Being a ready to move house, you can...",612 sqft,Plot Area,₹35 Lac,"₹5,718 /sqft",4
2 BHK,"Jagjeetpur, Haridwar",Jagjeetpur,"On the lookout for a spacious house in haridwar? Go for this 2 bhk house for sale in jagjeetpur, a well-Connected locality within haridwar. Constructed on a super built up area of 550 sq.Ft., this house comprises 2 bedrooms, 1 bathroom and 1 balcony. This 2 bhk house comes attached with 1 open parking for your vehicle(s). Another added advantage of this 0-1 year old house is that it is availabl...",550 sqft,Plot Area,₹23 Lac,"₹4,181 /sqft",1
18 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Sidcul is one of haridwar's most sought after destination for residential houses and this 18 bhk house in sidcul is your opportunity to be a part of this community. Constructed on a super built up area of 2100 sq.Ft., this house comprises 18 bedrooms, 10 bathrooms and 2 balconies. There are 2 open parking available with this house. This 0-1 year old property is available for immediate possessio...","2,100 sqft",Plot Area,₹75 Lac,"₹3,571 /sqft",10
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",Best in class property available at suman nagar location in haridwar,"1,000 sqft",Plot Area,₹7.5 Lac,₹750 /sqft,0
5 BHK,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",Nice location and well build quality material use in home.,"1,035 sqft",Plot Area,₹28 Lac,"₹2,705 /sqft",5
Plot/Land,"Laksar, Haridwar","Laksar, Haridwar","Near highway, good environment, peace full location, good place for future, good for investment purpose .",900 sqft,Plot Area,₹9 Lac,"₹1,000 /sqft",0
6 BHK,"Kankhal, Haridwar",Trilok nagar  opp Arihant Vihar Kankhal,"This is an independent house with three stories building at very good location, with double side open road, near by gurukul university haridwar, full of near by very close to ganga river ( Only 1 km), 3 km railway station and roadways, hospital is vey near 2 km, ranipur mode is only 2 km from this house. You can see mansa maa and chandi maa temple from top roofs in evey morning and evening. Ren...","2,200 sqft",Carpet Area,₹51 Lac,"₹2,318 /sqft",5
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"We are the proud owners of this 2 bhk apartment available in mantra happy homes, sidcul, haridwar. This apartment is a 0-1 year old property, priced approximately at rs. 3518 per sq. Ft. Or rs. 2850000. It is a resale and a ready to move in apartment. The unit is located on the 7th floor and has a super built-Up area of 810. 0 sq. Ft. It has 2 bathroom(s) and 3 balcony(s). The ownership is free...",810 sqft,Super Built-up Area,₹28.5 Lac,"₹3,518 /sqft",2
8 BHK,"Shivpuri Colony, Haridwar","Shivpuri Colony, Haridwar","Interested to sell independent house/villa.Placed at haridwar.It has spacious 8 bedrooms and 5 bathrooms. .3500 sq.Ft.(Buildup area) , 1700 sq.Ft.(Plot area) is the area of the property wan to sell it for 99 lac.","1,700 sqft",Plot Area,₹99 Lac,"₹5,823 /sqft",5
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"Crystal world and food court within 100 meter
Bml munjal green medows school nearby
South facing and north side proposed road with two side open
Overlooking park/garden within 25 meter","1,068 sqft",Plot Area,₹26.7 Lac,"₹2,500 /sqft",0
2 BHK,"Bahadarabad, Haridwar",Raghunath Residency,"Garden facing flat, vastu complaint, east facing, spacious rooms, 2 balconies, attached bathroom with both bedrooms. Store room/ puja room. Tv unit, spacious cupboards. Modular kitchen and chimney available. High class wooden work in both bedrooms. Ac in all 3 rooms. Well connected to national highway. Green lush area with mountain view. Easy access to roof .","1,100 sqft",Carpet Area,₹38 Lac,"₹3,454 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"In phase-1 of the 93 acres township Park facing Very close to bl munjal school Patanjali yogpeeth 3 kms Iit roorkee 12 kms Cbri, nih and other top civil engg research institutes 12-15 kms Patanjali yog gram 24 kms Haridwar har ki pauri 25 kms Rishikesh 45 kms Dehradun jolly grant airport 62 kms Dhanaulti 100 kms Mussoorie 106 kms Tehri dam 127 kms Lansdowne 130 kms Chakrata 162 kms New delhi 20...","1,405 sqft",Plot Area,₹60.5 Lac,"₹4,303 /sqft",0
Plot/Land,"Suman Nagar, Haridwar",khasra no 371,This plot is 2 side corner in suman ngr bhadrabad. Front side in suman ngr bhadrabad haridwar in main road,"9,500 sqft",Plot Area,₹90 Lac,₹947 /sqft,0
1 BHK,"Haripur Kalan, Haridwar","Bhagirathi Apartments, Birla Farm Chowk",Heavenly abode in the heart of haridwar. Flat consist of 01 bedroom and 01 drawing cum dining and 02 bathroom consisting of 01 indian and 01 western situated on first floor of apartment building,400 sqft,Carpet Area,₹19 Lac,"₹4,750 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Pyramid Shubham,Residential land available for sell.Located in patanjali yogpeeth.Available at an price of 25lac it is a freehold property.,"1,215 sqft",Plot Area,₹30 Lac,"₹2,469 /sqft",0
Plot/Land,"Roshanabad, Haridwar",Haridwar Inderlok Avas Yojna,"Plot is on main 24 mtr wide road, 
Commercial usage, 
Most suitable for banks, builder floors, 
Office cum residence for professionals like doctors, ca, 
Any other commercial use, 
Adjoining sidcul industrial area,","3,231 sqft",Plot Area,₹1.93 Cr,"₹6,000 /sqft",0
Plot/Land,"Shivpuri Colony, Haridwar","Shivpuri Colony, Haridwar",The property is in the middle of the city and the colony has been approved by nagar nigam,952 sqft,Plot Area,₹28.56 Lac,"₹3,000 /sqft",0
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar","I have a land available for sale in roshanabad, haridwar. Available at price of rs 27 lacs. It has plot area of 1000 sq ft. It is a freehold property","1,000 sqft",Plot Area,₹27 Lac,"₹2,700 /sqft",0
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar",Plot near sidkul at low price infront of shivam acedmy at a very good location,"1,000 sqft",Plot Area,₹28 Lac,"₹2,800 /sqft",0
Plot/Land,"Shivalik Nagar, Haridwar",Supertech The Pentagon Mall,"East facing, 25 mtr from shivalik nagar (Ring / main )road","2,172 sqft",Plot Area,₹3 Cr,"₹13,812 /sqft",0
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar","Plot situated on 40 feet road, nearby gree haridwar city","29,700 sqft",Plot Area,₹2 Cr,₹673 /sqft,0
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","I have a land available for sale in suman nagar, haridwar. Available at price of rs 3 lacs. It has plot area of 600 sq ft. It is a freehold property",600 sqft,Plot Area,₹3 Lac,₹500 /sqft,0
Plot/Land,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar","Residential land available for sell.Located in jagjeetpur.Available at an price of rs 30,00,000. The property has two approach roads of 30 fts","1,755 sqft",Plot Area,₹30 Lac,"₹1,709 /sqft",0
4 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","Total privacy, near market all facilities are available","1,600 sqft",Plot Area,₹75 Lac,"₹4,687 /sqft",3
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar","Corner plot 3 side open ,registry done, dakhil kharij done, wide road infront, nagarpalika road created, good location and connectivity, good neighboring houses, near by temple, very good hill view, price is negotiable for genuine buyers","1,600 sqft",Plot Area,₹48 Lac,"₹3,000 /sqft",0
1 BHK,"Roshanabad, Haridwar",Haridwar Greens,"1 rhk for sale in roshnabad ,haridwar greens situated in haridwar with a view of 180 degree shivalik ranges with modern fixtures. Likewise steel gate, 56'' ceiling fan, 1 double bedbox, 1 sofa, extra electric points, 25 litre rhs geyser, 2 steel hand rails in washroom, 1 curtain from ventilator to floor, fennesta glass cover in the balcony. Genuine buyers need to contact.",385 sqft,Built-up Area,₹10.98 Lac,"₹3,008 /sqft",1
6 BHK,"Sharda Nagar, Haridwar","Sharda Nagar, Haridwar",Independent house of 2 floor . 3 bedrooms in round floor and 3 bedrooms at first floor,"1,450 sqft",Plot Area,₹85 Lac,"₹6,758 /sqft",4
4 BHK,"Anandmai Puram Colony, Haridwar",Anandmai Puram Colony,"Located in one of the posh colony of kankhal, haridwar. The housing complex comprises only 42 plots having drainage facility, underground electric cabling and 30ft wide metalled road. The society came up in existence in the year 2000.","2,088 sqft",Plot Area,₹2.15 Cr,"₹10,296 /sqft",4
4 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","Super house for living, all necessaries are available nearest. Newly constructed. 
Ek baar jaroor dekhe,pasand jaroor ayega.","1,570 sqft",Plot Area,₹74 Lac,"₹4,713 /sqft",3
10 BHK,"Rawali Mahdood, Haridwar","Rawali Mahdood, Haridwar","Heart in city, 03 km district head quarters,07 km har ki pauri, under shivalik nagar nagar palika, 400 m sidcul, adjecent indra lok colony etc.","3,135 sqft",Plot Area,₹1.7 Cr,"₹5,422 /sqft",5
Plot/Land,Gajiwali Haridwar,"Gajiwali, Haridwar",Residential plot for resale in gajiwali gajiwali,585 sqft,Plot Area,₹6 Lac,"₹1,026 /sqft",0
4 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar",Selling shop with house of 1st and 2nd floor in market area,"1,500 sqft",Carpet Area,₹1.8 Cr,"₹12,000 /sqft",2
Plot/Land,"Shantikunj, Haridwar",Birla Farm,"Excellent location with all major ammanities ie bank, atm, hospital available nearby.",800 sqft,Plot Area,₹33.5 Lac,"₹4,188 /sqft",0
