Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
4 BHK,"Subhash Nagar, Haridwar","Subhash Nagar, Haridwar",Spacious house and well maintained,"3,360 sqft",Plot Area,₹1.5 Cr,"₹4,464 /sqft",2
6 BHK,"Near Bhagat Singh Chowk, Haridwar",shivlok,"Near bhagat singh chowk is one of haridwar's most sought after destination for residential houses and this 6 bhk house in near bhagat singh chowk is your opportunity to be a part of this community. The floor plan additionally contains 6 bedrooms, 4 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 1291 sq.Ft. Your vehicle(s) can be easily parke...","1,291 sqft",Plot Area,₹1.5 Cr,"₹11,617 /sqft",4
Plot/Land,"Roshanabad, Haridwar",Navodaya Nagar,Plot for sale in navodaya nagar roshanabad is available in haridwar. This locality resonates with your modern lifestyle. It spans over spectacular 2623 sq.Ft. Super built up area. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The property is owned under freehold contract. The plo...,"2,623 sqft",Plot Area,₹39.35 Lac,"₹1,500 /sqft",0
Plot/Land,"Sidcul , Haridwar",navodaya nagar,"Planning to build residence in haridwar? This plot in sidcul is the best deal for you. This 2257 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. Construction on this property can be easily done upto 3 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. Currently th...","2,257 sqft",Plot Area,₹33.85 Lac,"₹1,500 /sqft",0
6 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Check out this 6 bhk house for sale in sidcul, a popular residential locality that contains many of the in-Demand properties in haridwar. The floor plan additionally contains 6 bedrooms, 4 bathrooms and more than 3 balconies. All in all, the independent house is spread over a super built up area of 2600 sq.Ft. Your vehicle(s) can be easily parked as this house comes with 2 covered and 2 open pa...","2,600 sqft",Plot Area,₹90 Lac,"₹3,461 /sqft",4
Plot/Land,"Kankhal, Haridwar",Raja Garden,Kankhal is an ideal location for buying residential plots in haridwar. This plot in kankhal is a great buy for you. The plot is around super built up area of 700 sq.Ft. In size. Up to 3 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price ...,700 sqft,Plot Area,₹10.5 Lac,"₹1,500 /sqft",0
5 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Wishing to settle down in an individual house with your family? This well-Built and spacious 5 bhk house for sale in roshanabad, haridwar seems to be an ideal choice for a peaceful abode for a family. Another plus point for the house is that it is situated near close to hospital and close to school. Containing 5 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a supe...",704 sqft,Plot Area,₹26 Lac,"₹3,693 /sqft",3
3 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in roshanabad, haridwar and make it your new address. Owing to its key locations, several landmarks like close to hospital, close to market and close to school are easily accessible. The house has over super built up area of 600 sq.Ft. And comes with 3 bedrooms, 1 bathroom and 1 balcony. The owner of ...",600 sqft,Plot Area,₹16 Lac,"₹2,666 /sqft",1
Plot/Land,"Sidcul , Haridwar",Navodaya Nagar,"Spacious, ready to build plot in sidcul , haridwar. This 2623 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The owner of the property has freehold entitlement over the land. The asking price is ...","2,623 sqft",Plot Area,₹35.41 Lac,"₹1,350 /sqft",0
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar","Roshanabad is an ideal location for buying residential plots in haridwar. This plot in roshanabad is a great buy for you. The plot is around super built up area of 1769 sq.Ft. In size. Ownership of this property provides you entitlement to construct upto 3 floors. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. The owner of the pro...","1,769 sqft",Plot Area,₹24.77 Lac,"₹1,400 /sqft",0
18 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Wishing to settle down in an individual house with your family? This well-Built and spacious 18 bhk house for sale in navodaya nagar roshanabad, haridwar seems to be an ideal choice for a peaceful abode for a family. This house occupies a super built up area of 2000 sq.Ft. And contains 18 bedrooms, 10 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 2 ope...","2,000 sqft",Plot Area,₹75 Lac,"₹3,750 /sqft",10
4 BHK,"Roshanabad, Haridwar",Haridwar Greens,"Planning to buy an individual house in haridwar. Then you should definitely check out this 4 bhk house for sale in roshanabad, a well-Planned and well-Connected locality in haridwar. Containing 4 bedrooms, 4 bathrooms and 2 balconies, this independent house is spread over a super built up area of 612 sq.Ft. There are 2 open parking available with this house. Being a ready to move house, you can...",612 sqft,Plot Area,₹35 Lac,"₹5,718 /sqft",4
2 BHK,"Jagjeetpur, Haridwar",Jagjeetpur,"On the lookout for a spacious house in haridwar? Go for this 2 bhk house for sale in jagjeetpur, a well-Connected locality within haridwar. Constructed on a super built up area of 550 sq.Ft., this house comprises 2 bedrooms, 1 bathroom and 1 balcony. This 2 bhk house comes attached with 1 open parking for your vehicle(s). Another added advantage of this 0-1 year old house is that it is availabl...",550 sqft,Plot Area,₹23 Lac,"₹4,181 /sqft",1
18 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Sidcul is one of haridwar's most sought after destination for residential houses and this 18 bhk house in sidcul is your opportunity to be a part of this community. Constructed on a super built up area of 2100 sq.Ft., this house comprises 18 bedrooms, 10 bathrooms and 2 balconies. There are 2 open parking available with this house. This 0-1 year old property is available for immediate possessio...","2,100 sqft",Plot Area,₹75 Lac,"₹3,571 /sqft",10
