Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,I m owner . Immediately sale 2 bhk furnished flat. First come first benefits for sale,775 sqft,Super Built-up Area,₹20 Lac,"₹2,580 /sqft",2
Plot/Land,"dhaluwala majbata, Haridwar","dhaluwala majbata, Haridwar",Dhaluwala majbata is an ideal location for buying agriculture plots in haridwar. This plot in dhaluwala majbata on chakk road is a great buy for you. It spreads over 22 bigha super built up area.The possession of the property can be received immediately. The property belongs to owner through freehold ownership. This agriculture plot is all yours for 2.45 crore. Open for negotiation.,"383,327 sqft",Plot Area,₹2.45 Cr,₹63 /sqft,0
2 BHK,"Jwalapur, Haridwar",flat,Property code: 1458433,"1,040 sqft",Carpet Area,₹38 Lac,"₹3,653 /sqft",2
Plot/Land,"Shyampur, Haridwar","Shyampur, Haridwar","East facing, 2 side open, shyampur","1,127 sqft",Plot Area,₹13.5 Lac,"₹1,197 /sqft",0
Plot/Land,Gajiwali Haridwar,Emerald Riviera,"Availabilty of market ,school ,collage hospitals","1,127 sqft",Plot Area,₹13.5 Lac,"₹1,197 /sqft",0
2 BHK,"Hetampur, Haridwar",Manu green's colony,"Indipendent house 2 bhk at manu green's colony, roshnabad situated, having 20 ft front road, near navodaya vidyalaya, roshnabad stedium, all school and college, police station, all govt offices nearby.",640 sqft,Plot Area,₹19 Lac,"₹2,968 /sqft",1
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,"Hari ashray is a government approved residential township on nh-58, haridwar, near acharyakulam and patanjali yogpeeth. Its very rare to find something that will awaken all your senses. A pleasing sight, a beautiful song, a whiff of fragrance, a taste of the divine or the serenity of the mind, never would you come across anything that offers all. That is unless you come to the ""hari ashray"". He...",900 sqft,Plot Area,₹29 Lac,"₹3,222 /sqft",0
Plot/Land,"Kankhal, Haridwar","Kankhal, Haridwar",2 side and 3 side open plots on main road amidst greenery. Reasonable rates. All documents in place. Proper electricity water connection approved. Id kankhal,750 sqft,Plot Area,₹12 Lac,"₹1,600 /sqft",0
2 BHK,"Shantikunj, Haridwar","Shantikunj, Haridwar","We have a builder floor available for sale in shantikunj, haridwar. Available at price of rs 22 lacs. It has super area of 750 sq ft. It has 2 bhk, 2 bathroom, 1 balcony.It is a freehold property",750 sqft,Super Built-up Area,₹22 Lac,"₹2,933 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,These plots are situated near patanjali yogpeeth and township developed by hero reality named alaknanda or ganga green.,"1,013 sqft",Plot Area,₹25 Lac,"₹2,466 /sqft",0
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","Residential plot for resale in suman nagar 
Lane no. -05","1,320 sqft",Plot Area,₹12.5 Lac,₹947 /sqft,0
