Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar",This plot passed of hrda (Haridwar roorkee development athority) . Apposite by patanjali cottage.,841 sqft,Plot Area,₹29.5 Lac,"₹3,507 /sqft",0
2 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","Near gurukul kangri university, attached with national highway just 5 mins walking distance , 4 km from har ki pauri, best colony of haridwar, rudraksh tree, mango tree, chandan tree, and many more plants in this property. Bank, hospital ,ganga ghat ,dominos ,burger king, hotels, market ,etc all near just 10 mint drive.","1,620 sqft",Plot Area,₹80 Lac,"₹4,938 /sqft",2
7 BHK,"Shivalik Nagar, Haridwar","Shivalik Nagar,Haridwar","Well connected to hospital, schools and market , east facing, 60 feet wide road front of the property, residential cum commercial property,","2,152 sqft",Plot Area,₹4 Cr,"₹10,952 /sqft",4
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",Suman nagar is a heart of haridwar very beautiful natyre eco friendly nature and eco friendly people,650 sqft,Plot Area,₹5.61 Lac,₹863 /sqft,0
2 BHK,"Bahadarabad, Haridwar",Raghunath Residency,1 km from sidcul very spacious neat and clean mountain view flat.,"1,200 sqft",Super Built-up Area,₹35 Lac,"₹2,916 /sqft",2
Plot/Land,"Jamalpur Kalan, Haridwar","Jamalpur Kalan, Haridwar",Two sided property. Gayatri puram jamalpur kalan,"1,200 sqft",Plot Area,₹26.8 Lac,"₹2,233 /sqft",0
4 BHK,"Haripur Kalan, Haridwar",Do manjila house,"4bedrooms 2baths
Independent house/villa for sale
In do manjila house, haripur kalan, haridwar, uttarakhand",700 sqft,Plot Area,₹52 Lac,"₹7,428 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Haridwar Paradise,"Located adjacent to the haridwar-Roorkee highway, the plot is an ideal place to build a house or for rental purposes. It offers the pleasant environmemt due to its location outside the busy city while not too far away for daily necessities. A metro line will soon be constructed and patanjali yogpeeth is already approved as a station. The site also offers the luxury of fresh air and peacefulness...",882 sqft,Plot Area,₹30 Lac,"₹3,401 /sqft",0
3 BHK,"Sidcul NH 73, Haridwar",Hero Gharaunda,Small budget house for small family good location best quality construction newly build,600 sqft,Plot Area,₹26 Lac,"₹4,333 /sqft",2
2 BHK,"New Shivalik Nagar, Haridwar","New Shivalik Nagar, Haridwar","Selling house in tehri vishthapit colony, ranipur haridwar (Near shivalik nagar)",877 sqft,Plot Area,₹42 Lac,"₹4,789 /sqft",3
Plot/Land,"Ranipur More, Haridwar","Ranipur More, Haridwar",Residential plot for resale in ranipur more ranipur more,"2,700 sqft",Plot Area,₹2 Cr,"₹7,407 /sqft",0
2 BHK,"Jwalapur, Haridwar",good,Living living living living living living,425 sqft,Plot Area,₹17 Lac,"₹4,000 /sqft",1
3 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,"Property is located on main delhi haridwar highway and is located in the well renowned buider and developer , which is very well maintained.","1,210 sqft",Carpet Area,₹40 Lac,"₹3,305 /sqft",2
2 BHK,"Kankhal, Haridwar",Gayatri Lok Apartment,"The property is located on the main delhi hridwar highway, located on the most furnished and well maintained colony of haridwar.",800 sqft,Carpet Area,₹30 Lac,"₹3,750 /sqft",1
