Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Sidcul NH 73, Haridwar",Antriksh NRI City,Full security gated community. Walking distance to pentagon mall. Nearby dps school,915 sqft,Super Built-up Area,₹38 Lac,"₹4,153 /sqft",2
2 BHK,"Jamalpur Kalan, Haridwar","Jamalpur Kalan, Haridwar","400ft   2       50            17 ft he   25ft    21.5ft      3    ,1  ,1  ,1  +     1 ,1   10*10      fulli       1.5",400 sqft,Plot Area,₹25 Lac,"₹6,250 /sqft",2
1 BHK,"Badheri Rajputan, Haridwar",Eminent Aarogyam,Newly renovated fully furnished 1bhk with modular kitchen and ample ventilation. Patanjali is just 5-7 minutes away while haridwar main city is about 10 minites drive.,850 sqft,Carpet Area,₹34.5 Lac,"₹4,058 /sqft",1
7 BHK,"Shivalik Nagar, Haridwar","Shivalik Nagar, Haridwar",Spacious rooms and the house is situated on broad and open road .,"2,152 sqft",Plot Area,₹4 Cr,"₹18,581 /sqft",4
1 BHK,"Sidcul , Haridwar","Sidcul , Haridwar",Independent/builder floor is available for sell.It has good design of 1 bedroom. Non-Stop water supply in 1 bathroom .It has been semifurnished.Situated in sidcul .Area of the construction is 425.00 sq.Ft.(Builtup area).Located on ground floor out of 1.Construction ages only 1-5 years old property,450 sqft,Super Built-up Area,₹20 Lac,"₹4,445 /sqft",1
2 BHK,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,Interested to sell independent house/villa.Placed at patanjali yogpeeth.It has spacious 2 bedrooms and 2 bathrooms. .Want to sell it for rs 4500000.It is a 1-5 years old property construction,798 sqft,Plot Area,₹45 Lac,"₹5,625 /sqft",2
Plot/Land,"Ranipur, Haridwar","Ranipur, Haridwar",Residential plot for resale in ranipur ranipur,"1,600 sqft",Plot Area,₹20.8 Lac,"₹1,300 /sqft",0
3 BHK,vikas colony near vishal megha mart Ranipur haridwar,sainy apartment,"This property is situated at the center of haridwar main city nearby ganga ghat and all the restaurant, mall, bank and hospital are available under 1km distance","1,100 sqft",Carpet Area,₹59.5 Lac,"₹5,409 /sqft",2
12 BHK,"Salempur, Haridwar","Salempur, Haridwar","Selling because need urgent money On road property of salempur main road. 12bhk on three floors 11 rooms , each room having a separate kitchen and bathroom Full ventilated Superb quality construction with quality materials used One shop on ground about 150sqft Parking for more than 7 bikes Seaparte meters for each room Getting 40000 rent per month already. Best property for investment in the ar...","1,200 sqft",Plot Area,₹75 Lac,"₹6,250 /sqft",12
Plot/Land,"Jagjeetpur, Haridwar",raja garden enclave,"I am looking for buyer to purchase land available for sale in jagjeetpur, haridwar. Available at price of rs 5500000. It has plot area of 1110 sqft. It is a freehold property","1,110 sqft",Plot Area,₹55 Lac,"₹4,954 /sqft",0
2 BHK,vip colony suman nagar bahadrabad haridwar 249402,"vip colony suman nagar bahadrabad haridwar 249402, Haridwar","I have a house/villa available for sale in vip colony suman nagar bahadrabad haridwar 249402, haridwar. Available at price of rs 18 lacs. It has plot area of 800 sq ft. It has 2 bhk, 2 bathroom, 1 balcony.It is a freehold property",800 sqft,Plot Area,₹18 Lac,"₹2,250 /sqft",2
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","Three adjacent plots are available each measuring 1316 sq ft , west facing property , prime location in first row of suman nagar, haridwar","1,316 sqft",Plot Area,₹15.79 Lac,"₹1,200 /sqft",0
3 BHK,"Subhash Nagar, Haridwar","Subhash Nagar, Haridwar","Nearby bhel township 
Nearby dps school
Nearby jawalapur market
Nearby patanjali yogpeeth
Nearby har ki pauri
Pet friendly society","1,280 sqft",Plot Area,₹53 Lac,"₹4,140 /sqft",2
2 BHK,"Bahadarabad, Haridwar",r k puram colony,2bhk flat on third floor with roof right,800 sqft,Carpet Area,₹25 Lac,"₹3,125 /sqft",2
1 BHK,"Bahadarabad, Haridwar",Eminent Aarogyam Apartments,Studio apartment for sell.The property has 1 bedroom with 1 bathroom .It is a furnished property.Located in bahadarabad.Available at an expected price of rs 3000000.Located on 4th floor out of the 5 the property comes with a good construction quality which ages 1-5 years old property,500 sqft,Carpet Area,₹30 Lac,"₹6,000 /sqft",1
