Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Arya Nagar, Haridwar","Arya Nagar, Haridwar",Posh calony plot is approximately on main road arya nagar chowk to singdwar . Residential and commercial top class plot now there is no trees on plot ......,"1,800 sqft",Plot Area,₹2.75 Cr,"₹15,277 /sqft",0
4 BHK,"Haripur Kalan, Haridwar","Haripur Kalan, Haridwar","I have a house/villa available for sale in haripur kalan, haridwar. Available at price of rs 29 lacs. It has plot area of 500 sq ft. It has 4 bhk, 2 bathroom, 1 balcony.It is a freehold property",500 sqft,Plot Area,₹29 Lac,"₹5,800 /sqft",2
4 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Connected to the main road, all services provided, can be used for rental purposes, near factories","2,178 sqft",Plot Area,₹65 Lac,"₹3,000 /sqft",4
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,"The property is located behind patanjali yogpeeth at haridwar. It is a rera rera-Approved township. The property is most suitable for people employed in patanjali, hul, and akums. Also, anyone who is looking to invest or wants to live in a lush green peaceful environment. Haridwar is approx. 15 km away and it is very close to crystal world.","1,134 sqft",Plot Area,₹31.75 Lac,"₹2,800 /sqft",0
Plot/Land,"Kankhal, Haridwar","Kankhal, Haridwar","Looking for buyer to purchase our land available for sale in kankhal, haridwar. Available at price of rs 13200000. It has plot area of 2200 sq ft. It is a freehold property","2,200 sqft",Plot Area,₹1.32 Cr,"₹6,000 /sqft",0
Plot/Land,"Kankhal, Haridwar","Kankhal, Haridwar","Plot for sale 
 In front of netradham ashok vihar colony near kankhal police station way to ram krishna mission hospital
 20 meters from main road","1,200 sqft",Plot Area,₹72 Lac,"₹6,000 /sqft",0
Plot/Land,"Laksar, Haridwar",salempur bakkal,"Looking for buyer to purchase our land available for sale in laksar, haridwar. Available at price of rs 50 lacs. It has plot area of 900 sq ft. It is a power of attorney property",900 sqft,Plot Area,₹50 Lac,"₹5,555 /sqft",0
3 BHK,"vikas colony ranipur, Haridwar",sainy apartments,This property is located in main haridwar and all the connectvity is very easy. All the marts banks hospital is nearby and view is also very good,"1,100 sqft",Carpet Area,₹58 Lac,"₹5,272 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,"Excellent hrda approved plot with 9 meter wide road, in the fully developed 2 gate colony with parks. Families are already residing in the colony. Patanjali yogpeeth city is the vicinity. Very near to delhi-Haridwar highway and crystal water park.",800 sqft,Plot Area,₹22 Lac,"₹2,750 /sqft",0
2 BHK,"New Shivalik Nagar, Haridwar","New Shivalik Nagar, Haridwar",New shivalik nagar narinivatika colony atal cook ke pass ready to move,687 sqft,Plot Area,₹45 Lac,"₹6,113 /sqft",2
2 BHK,"Patanjali Yogpeeth, Haridwar",Shubham Apartment,"We are the proud owners of this 2 bhk apartment available in shubham apartment, patanjali yogpeeth, haridwar. This semi-Furnished apartment it is a and the unit is located on 1st floor and has a carpet area of 25 sq.M. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.",270 sqft,Carpet Area,₹30 Lac,"₹11,108 /sqft",1
2 BHK,"Mayapur, Haridwar",Shubham Apartment,"Very near to haridwar railway station, bus stand n shiv murti chowk. .",270 sqft,Carpet Area,₹30 Lac,"₹11,108 /sqft",1
