Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"pili, Haridwar","pili, Haridwar",The residential plot is available for sale.,"5,625 sqft",Plot Area,₹71.88 Lac,"₹1,278 /sqft",0
4 BHK,"Shivalik Nagar, Haridwar","Shivalik Nagar, Haridwar","Spacious rooms,well maintained","1,463 sqft",Plot Area,₹1.35 Cr,"₹9,222 /sqft",2
2 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,"2bhk full furnished apartment is available for sale in one of the best society of haridwar uttarakhand jurs country. This flat is included with cover car parking club membership and power backup facilities. The flat is fully furnished with bed sofa tv fridge ro geyser fans, wardrobe and modular kitchen etc",994 sqft,Super Built-up Area,₹36 Lac,"₹3,621 /sqft",2
3 BHK,"THDC navodya nagar roshnabaad, Haridwar","THDC navodya nagar roshnabaad, Haridwar","Front elevation , ventilation,space for parking","1,433 sqft",Plot Area,₹65 Lac,"₹4,535 /sqft",4
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","Residential plot for resale in suman nagar with complete documents and mutation (Dakhil kharij) , immediate possession","1,800 sqft",Plot Area,₹17.1 Lac,₹950 /sqft,0
1 BHK,"Bhagwanpur, Haridwar","Bhagwanpur, Haridwar",My properties in high way in haridwar to delhi,925 sqft,Plot Area,₹50 Lac,"₹5,405 /sqft",1
1 BHK,"Bahadarabad, Haridwar",Raghunath Residency,Residential apartment for sell.The property has 1 bedroom with 2 bathrooms .It is a semifurnished property.Located in bahadarabad.Available at an expected price of rs 2600000.Located on 3rd floor out of the 7 the property comes with a good construction quality which ages 5-10 years old property,750 sqft,Carpet Area,₹26 Lac,"₹3,466 /sqft",2
3 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","I have a house/villa available for sale in jwalapur, haridwar. Available at price of rs 5300000. It has carpet area of 900 sqft. It has 3 bhk, 2 bathroom, 0 balcony.It is a cooperative property",900 sqft,Carpet Area,₹53 Lac,"₹5,888 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Ananda City,With all facilities & amenities gated complex limited units are left call hurry fully furnished villa,"1,089 sqft",Plot Area,₹25 Lac,"₹2,296 /sqft",0
2 BHK,"Patanjali Yogpeeth, Haridwar",Arogyam,"5 star property with all rooms covered with minimum amenities available like ac, water purifire, club house, swiming pool, parking, playground and many more.","1,280 sqft",Carpet Area,₹49 Lac,"₹3,828 /sqft",2
1 BHK,"Bahadarabad, Haridwar",Raghunath Residency,East facing flat semi furnished and two ac's already installed,850 sqft,Super Built-up Area,₹26 Lac,"₹3,454 /sqft",2
1 BHK,"Patanjali Yogpeeth, Haridwar",Arogyam,"This beautiful 1 bhk flat in patanjali yogpeeth, haridwar is situated in arogyam, one of the popular residential society in haridwar. The flat is over 510 sq.Ft. Carpet area and comes with 1 bedroom(s), 1 bathroom and 1 balcony. The property is located on the 3rd floor of a 4 floors tall building. As the project is already ready to move, so you can easily move into this 1-5 years old property.",510 sqft,Carpet Area,₹30 Lac,"₹5,882 /sqft",1
3 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar",House is on new sabji mandi main road with two shops and one 1200 square feet godown / hall rental income coming from property 35.000,"2,100 sqft",Plot Area,₹3.25 Cr,"₹15,476 /sqft",2
Plot/Land,"Laksar, Haridwar","Laksar, Haridwar",Near haridwar road laksar prime location.,"2,500 sqft",Plot Area,₹60 Lac,"₹2,400 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,Residential land available for sell.Located in patanjali yogpeeth.Available at an price of rs 3100000.,"1,350 sqft",Plot Area,₹31 Lac,"₹2,296 /sqft",0
