Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
3 BHK,"Jamalpur Kalan, Haridwar",sitapur haridwar,Good house and very maintained,400 sqft,Plot Area,₹22 Lac,"₹5,500 /sqft",2
Plot/Land,"Aneki Hetmapur, Haridwar","Aneki Hetmapur, Haridwar, Uttarakhand 249402","Our property is situated on a sprawling plot of land that boasts stunning natural beauty and tranquility. The expansive grounds feature lush gardens, meandering pathways, and serene that create a peaceful and relaxing environment for guests to enjoy. Additionally, our property offers a range of unique amenities such as outdoor seating. And it is also sutable for making shops.","2,800 sqft",Plot Area,₹70 Lac,"₹2,500 /sqft",0
6 BHK,"Kankhal, Haridwar",lucky vihar jamalpur,"I have a house/villa available for sale in kankhal, haridwar. Available at price of rs 95 lacs. It has plot area of 1000 sq ft. It has 6 bhk, 4 bathroom, 2 balcony.It is a freehold property","1,000 sqft",Plot Area,₹95 Lac,"₹9,500 /sqft",4
2 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,"Hey, i am selling my 2bhk ready to move in apartment in jurs. All modern amenities are operational like club house, gymnasium, swimming pool, commercial plaza and school etc at best price.
For more details call me .","1,006 sqft",Super Built-up Area,₹32.99 Lac,"₹3,279 /sqft",2
2 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,"Hey, i want to sale my 2bhk apartment located in jurs country jwalapur haridwar. This society is very beautiful with all modern amenities like club house, gymnasium, parks , swimming pool, school ets",880 sqft,Super Built-up Area,₹29 Lac,"₹3,068 /sqft",2
2 BHK,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar","Newly construction house for sale. Location : Bhagirath vihar colony, near radha swami satsang bhawan, panjnheri. Laksar road haridwar. Property description: Plot size : 760 sqft east facing house Built-Up area : 1080 sqft 1st bedroom : 13*9.5 ft 2nd bedroom: 13*9.5 ft Drawing hall : 12*12 ft Entrance. : 8*13 ft Kitchen. : 7*6 ft open kitchen Bathroom. : 7*4.5 ft common Fully ventilated house F...",760 sqft,Built-up Area,₹30 Lac,"₹3,947 /sqft",1
5 BHK,"Jamalpur Kalan, Haridwar",new mohan enclave colony,"I am looking for buyer to purchase house/villa available for sale in jamalpur, haridwar. Available at price of rs 40 lacs. It has plot area of 600 sq ft. It has 5 bhk, 2 bathroom, 1 balcony.It is a freehold property",600 sqft,Plot Area,₹40 Lac,"₹6,666 /sqft",2
Plot/Land,"Santarshah, Haridwar","Rudra ganga enclave, patanjali Yogpeeth haridwar","Call only genuine buyers, its s very good location near patanjali yogpeeth and the road is 30 feet and 20 feet 2 side plot as well","1,350 sqft",Plot Area,₹30 Lac,"₹2,222 /sqft",0
2 BHK,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","Are you planning to buy your dream home? You can consider this well-Built 2 bhk house for sale in suman nagar, haridwar and make it your new address. This house occupies a super built up area of 500 sq.Ft. And contains 2 bedrooms, 1 bathroom and 1 balcony. Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent...",500 sqft,Plot Area,₹12 Lac,"₹2,400 /sqft",1
2 BHK,"bheemgoda, Haridwar",bankhandi ashram bheemgoda haridwar,"It located in the mid of market area 
10 min walking distance from harki pauri
5 minute drive for hospital
200mtr to get connected to highway",750 sqft,Carpet Area,₹12.5 Lac,"₹1,666 /sqft",1
Plot/Land,"Sidcul NH 73, Haridwar",Antriksh NRI City,"Approved, gated township with best location.","1,080 sqft",Plot Area,₹54.54 Lac,"₹5,050 /sqft",0
7 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Check out this 7 bhk house for sale in sidcul, a popular residential locality that contains many of the in-Demand properties in haridwar. This house occupies a super built up area of 981 sq.Ft. And contains 7 bedrooms, 7 bathrooms and 3 balconies. As the property is already ready to move, so you can easily move into this 5-10 years old house. This house is owned under freehold contract. By payi...",981 sqft,Plot Area,₹42 Lac,"₹4,281 /sqft",7
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar","We are proud owners of land available for sale in near, haridwar. Available at price of rs 9 lacs. It has plot area of 1000 sq ft. It is a freehold property","1,000 sqft",Plot Area,₹8 Lac,₹800 /sqft,0
4 BHK,"Cluster B, Phase 1, Haridwar",Shivalik Nagar,"Prime location, 4 bhk ground floor independent family home with built in 1room set on first floor. East facing and vastu complaint. Plenty of outdoor area for car parking and gardening. Opposite to well maintained society park.","2,152 sqft",Plot Area,₹2 Cr,"₹9,290 /sqft",3
5 BHK,"Bilkeshwar Colony, Haridwar","Bilkeshwar Colony, Haridwar","Near to the ganges, bilkeshwar mahadev mandir. With lust of greenery and peace.","1,800 sqft",Plot Area,₹1.5 Cr,"₹8,333 /sqft",3
