Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Kangari, Haridwar","Kangari, Haridwar","This property is located in kangri village, nestled in the lap of nature, 7 km away from harki pauri, 100 meters away from the old haridwar road. All types of facilities like electricity, water, road etc. Are available at this place.","1,000 sqft",Plot Area,₹10.5 Lac,"₹1,050 /sqft",0
Plot/Land,"Pherupur Ramkhera, Haridwar","Pherupur Ramkhera, Haridwar",All facilities available like swimming pool 3 park hospital gym club near logistics hub,"1,125 sqft",Plot Area,₹23.63 Lac,"₹2,100 /sqft",0
2 BHK,"Kankhal, Haridwar","Kankhal, Haridwar","My house is located near the bank of river ganga , in a posh colony vishnu garden in pious city haridwar.
This colony is attached to the newly built expressway connecting delhi to haridwar.",600 sqft,Plot Area,₹40 Lac,"₹6,666 /sqft",2
2 BHK,"Aneki Hetmapur, Haridwar","Aneki Hetmapur, Haridwar",Very beautiful made by map sai mandir se 40mtr distance par near haridwar green appartment. 5 college in one kms distance. Pentagon mal 4 kms all stedium in 400mtr distance.,561 sqft,Plot Area,₹19.5 Lac,"₹3,475 /sqft",1
4 BHK,"Near ring rode jamalpur kalan, Haridwar",new mohan enclave,Its near ring road approx 500 mt medical college gas connections 24 c7 lights good locality,620 sqft,Plot Area,₹30 Lac,"₹4,838 /sqft",1
Plot/Land,"Jiya Pota, Haridwar","Jiya Pota, Haridwar",Hrda approved/rera registered plot/on road gated society,"1,144 sqft",Plot Area,₹35.46 Lac,"₹3,100 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar","We are proud owners of land available for sale in patanjali yogpeeth, haridwar. Available at price of rs 2880000. It has plot area of 1617 sqft. It is a freehold property","1,617 sqft",Plot Area,₹28.8 Lac,"₹1,781 /sqft",0
Plot/Land,"Inderlok Sidcul, Haridwar","Inderlok Sidcul, Haridwar",Residential homes for sale in inderlok sidcul haridwar uk,"3,228 sqft",Plot Area,₹2.7 Cr,"₹7,744 /sqft",0
8 BHK,"Sidcul , Haridwar","Sidcul , Haridwar",Best in class property available at inderlok sidcul location in haridwar,"3,228 sqft",Built-up Area,₹2.7 Cr,"₹7,745 /sqft",6
5 BHK,"near vedik parking, Haridwar","madhuban gali, new dheerwali",Total land h 1183 sqft,"1,183 sqft",Plot Area,₹60 Lac,"₹5,071 /sqft",3
8 BHK,"Jwalapur, Haridwar",jwalapur mohalla chauhanan,"Located in centre of the main market,",500 sqft,Plot Area,₹65 Lac,"₹13,000 /sqft",1
2 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,50acres of group housing development near roshnabad and sidcul area with park club swimming pool kids play area school nursing home with 75 percent green open area,"1,081 sqft",Super Built-up Area,₹32.5 Lac,"₹3,006 /sqft",2
7 BHK,"Shivalik Nagar, Haridwar",m cluster,"We are proud owners of house/villa available for sale in shivalik nagar, haridwar. Available at price of rs 23 lacs. It has plot area of 2152.7 sq ft. It has 7 bhk, 4 bathroom, 2 balcony.It is a freehold property","2,152 sqft",Plot Area,₹4 Cr,"₹18,581 /sqft",4
Plot/Land,"Patanjali Yogpeeth, Haridwar",Alice Residency,"Alice residency hrda approved residential plot on main nh334 haridwar near patanjali yogapeeth.
Gated society opposite of crystal world water park haridwar.",855 sqft,Plot Area,₹34 Lac,"₹3,976 /sqft",0
3 BHK,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","3 bhk independent home 
3 rooms
2 bathroom
1 very big size kitchen
1 car parking
Two side facing home with 20ft road
Situated at green valley suman nagar bahadrabad haridwar","1,150 sqft",Built-up Area,₹25 Lac,"₹2,173 /sqft",2
