Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar","Plot for sale in navodaya nagar roshnabadl is available in haridwar. This locality resonates with your modern lifestyle. It's a 1575 sq.Ft. Super built up area property. Here, a solid foundation can easily withhold construction of 3 floors. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received immediately. The property is owned u...","1,575 sqft",Plot Area,₹28.35 Lac,"₹1,800 /sqft",0
Plot/Land,"Peeli, Haridwar",Peeli,The residential plot is available for sale.,"5,625 sqft",Plot Area,₹71.88 Lac,"₹1,278 /sqft",0
Plot/Land,"Jagjeetpur, Haridwar",Ganga Vihar Colony,"A residential plot for sale at ganga vihar colony near raja garden enclave jagjeetpur kankhal ward no 58 nagar nigum haridwar
Plot size 30 by 42 = 1260 sqft
East facing dakhil kharij road 20 feet","1,265 sqft",Plot Area,₹50.6 Lac,"₹4,000 /sqft",0
Plot/Land,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar","A beautiful residential plot for sale
Near vaitka farm banquet 
Near welcome farm banquet
Near government medical college haridwar 
Laksar road jagjeetpur haridwar 
Plot size = 900 sqft
East facing dakhil kharij 
Included personal waterboring
Boundarywall",900 sqft,Plot Area,₹36 Lac,"₹4,000 /sqft",0
6 BHK,"Jagjeetpur, Haridwar",Ajitesh Vihar Colony,"A beautiful kothi house for sale 
Ajitesh vihar colony 
Near guru ram rai school 
Raja garden jagjeetpur kankhal
Laksar road haridwar 
Hrda approved map
Plot size =1540 sqft
Coverd area = 3900 sqft 
Road 30 feet","1,540 sqft",Plot Area,₹1.7 Cr,"₹11,038 /sqft",5
Plot/Land,"Near Machali Talab, Haridwar",Jamlpur Kala,Plot for sale size 40*35 = 1400 sqft southwest facing raja garden jamalpur haridwar,"1,400 sqft",Plot Area,₹37.8 Lac,"₹2,700 /sqft",0
3 BHK,"Kankhal, Haridwar",Raja Garden,"Semi commercial property including ,2 shop 2 bedroom kitchen 2 toilet near machali talab, jamalpur kala, raja garden jagjeetpur kankhal haridwar",788 sqft,Plot Area,₹50 Lac,"₹6,345 /sqft",2
3 BHK,"Shivalik Nagar, Haridwar","Shivalik Nagar, Haridwar",Spacious and well-Maintained house,"2,152 sqft",Plot Area,₹2 Cr,"₹9,293 /sqft",2
4 BHK,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar","A beautiful house for sale in shivani puram colony jagjeetpur rajagarden kankhal haridwar 
Plot size 30*25= 750 sqft
Coverd area = 1450 sqft
North facing 
Dakhil kharij 143 
Road 20 feet 
Contact",750 sqft,Plot Area,₹46 Lac,"₹6,133 /sqft",2
Plot/Land,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar","A beautiful plot for sale in radha krishna vihar jagjeetpur rajagarden kankhal haridwar plot in under nagar nigum haridwar
Plot size 25*36.5 = 912.5 sqft
East_facing 143 road 20 feet",912 sqft,Plot Area,₹27.5 Lac,"₹3,013 /sqft",0
3 BHK,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar","A beautiful house for sale in vasundhara enclave colony raja garden jagjeetpur kankhal haridwar near rajagarden jamalpur linkroad
Plot size 2040 = 800 sqft
Coverd area 1150 sqft 
Westfacing dakhil kharij 143
Road 20feet",800 sqft,Plot Area,₹39 Lac,"₹4,875 /sqft",1
1 BHK,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",A beautiful house in suman nagar bahadrabad haridwar.,540 sqft,Plot Area,₹14.5 Lac,"₹2,685 /sqft",1
Plot/Land,"Shri Hari Enclave Bahadrabad by pass, Haridwar","Shri Hari Enclave Bahadrabad by pass, Haridwar","Shri hari enclave hrda approved gated society plots available on 40 ft road east facing plot, 3 side open corner plot, sewerage, water, streetlight , green park, mandir stp, cricket pitch, in society.
Looking for a best investment on main nh334, 7km from har ki pauri, nearby school, market, mall.","1,400 sqft",Plot Area,₹56 Lac,"₹4,000 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hari Kunj,"Hari kunj township located on near patanjali yogpeeth on main nh-334, opposite crystal world and sarovar portico hotel . Here you will find a park ,electricity and water all basic amenities along with a fully secure township featuring 24/7 security.",950 sqft,Plot Area,₹21.5 Lac,"₹2,263 /sqft",0
Plot/Land,"Badheri Rajputan, Haridwar","Badheri Rajputan, Haridwar","Alice residency phase 3 residential plot hrda approved opposite on crystal world water park on main nh 334 haridwar, near patanjali yogapeeth haridwar.
Near school, near hospital, on main highway facing site, ready to move in plots, bank loan available.","1,200 sqft",Plot Area,₹44 Lac,"₹3,666 /sqft",0
