Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar","This plot is situated in opposite crystal word, near patanjali yogpeeth roorkee haridwar highway, plot area 150 sq. Yard ltype corner plot.","1,350 sqft",Plot Area,₹18 Lac,"₹1,333 /sqft",0
Plot/Land,"Opp. Crystal World, Near Patanjali Yogpith, Haridwar","Opp. Crystal World, Near Patanjali Yogpith, Haridwar","We have a land available for sale in patanjali yogpeeth, haridwar. Available at price of rs 25 lacs. It has plot area of 1350 sq ft. It is a freehold property","1,350 sqft",Plot Area,₹25 Lac,"₹1,851 /sqft",0
2 BHK,"Sidcul , Haridwar",densi chowk,"Are you planning to buy your dream home? You can consider this well-Built 2 bhk house for sale in sidcul, haridwar and make it your new address. The house has over super built up area of 640 sq.Ft. And comes with 2 bedrooms, 1 bathroom and 1 balcony. Being a ready to move house, you can expect immediate possession of this 0-1 year old property. The nature of ownership of this independent house ...",640 sqft,Plot Area,₹35 Lac,"₹5,468 /sqft",1
4 BHK,"Rawali Mahdood, Haridwar","Rawali Mahdood, Haridwar","It's a two story building where in the ground floor youll get 2 rooms, 1 washroom, kitchen, drawing room. One the first floor 1 room and washroom.",640 sqft,Plot Area,₹23 Lac,"₹3,593 /sqft",2
4 BHK,"Vivek Vihar, Haridwar",Vivek Vihar,"The property(Plot) is behind le grand hotel, in vivek vihar colony jwalapur haridwar. The property title is clean and can be transferred immediately.","3,188 sqft",Plot Area,₹5.73 Cr,"₹17,973 /sqft",4
2 BHK,"Kankhal, Haridwar","Kankhal, Haridwar","1 bath, semi-Furnished, 1st floor (Of 3), at kankhal location haridwar",740 sqft,Built-up Area,₹17 Lac,"₹2,297 /sqft",1
4 BHK,Gajiwali Haridwar,New Krishna Coloney,2 shope hai. East facing.Total no of rooms 8,"1,000 sqft",Plot Area,₹55 Lac,"₹5,500 /sqft",4
1 BHK,"Jwalapur, Haridwar",Kanak Nakshatra Vatika,Near patanjali and bhumanad hospital,605 sqft,Carpet Area,₹17 Lac,"₹2,809 /sqft",1
Plot/Land,"Shantikunj, Haridwar","Shantikunj, Haridwar",Govt approved hrda colony prime location near shantikunj haridwar.,"1,800 sqft",Plot Area,₹1.35 Cr,"₹7,500 /sqft",0
Plot/Land,"Rawali Mahdood, Haridwar","Rawali Mahdood, Haridwar",Residential land available for sell.Located in rawali mahdood.Available at an price of rs 1870000.,"1,100 sqft",Plot Area,₹18.7 Lac,"₹1,700 /sqft",0
